prompts,noun_idx
A black cat sitting on a red pillow.,"2,6"
A white cup on a wooden table.,"2,6"
A yellow flower in a blue vase.,"2,6"
A brown horse in a green meadow.,"2,6"
A pink dress on a hanger.,"2,5"
A purple car in a dark garage.,"2,6"
"A red apple, a yellow banana, and a green pear in a fruit basket.","2,5,9,13"
"A blue pen, a yellow highlighter, and a white piece of paper on a desk.","2,5,11,14"
"A brown chair, a black table, a green plant, and a white wall in a living room.","2,5,8,12,16"
"A silver spoon, a white plate, a blue napkin, and a red wine glass on a dining table.","2,5,8,13,17"
"A red stop sign, a yellow traffic light, a green tree, and a blue sky on a street.","3,7,10,14,17"
"A brown teddy bear, a yellow rubber duck, a blue ball, and a green toy car on a children's play mat.","3,7,10,15,20"
"A bright yellow sunflower with a striped bumblebee hovering over it, a green leafy stem, and a dark brown soil.","3,7,14,19" 
"A fluffy white kitten with bright blue eyes, a red ball of yarn, a wooden scratching post, and a yellow ribbon.","3,7,10,16,20"
"A tall glass of pink lemonade with ice cubes, a juicy slice of watermelon, a red and white checkered picnic blanket, and a warm summer sun.","2,8,13,20,25"
"A sleek black sports car with shiny chrome rims, a red and white racing stripe, a leather bucket seat, and a panoramic sunroof.","4,14,18,22"
"A majestic brown horse with a flowing mane and tail, a leather saddle with silver stirrups, a green grassy meadow, and a clear blue sky.","3,7,12,15,19,24"
"A cozy living room with a plush beige sofa, a fluffy white rug, a wooden coffee table with a vase, and a tall bookshelf filled with books.","3,8,12,16,19,26"
"an elephant with glasses","1,3"
"a dog with a hat","1,4"
"a cat with a bowtie","1,4"
"a bird with a crown","1,4"
"a cat warrior holding a sword and wearing a helmet","1,5,9"
