prompts,noun_idx
A room with blue walls and a white sink and door.,8
A room with white walls and a blue sink and door.,8
A black cat is inside a white toilet.,2
A white cat is inside a black toilet.,2
A brown purse is sitting on a green bench.,2
A green purse is sitting on a brown bench.,2
Some yellow cubes are floating in red liquid in a jar.,2
Some red cubes are floating in yellow liquid in a jar.,2
A black cat with white stomach takes a pose.,2
A white cat with black stomach takes a pose.,2
"Dirty white kitchen with brown cabinetry, sink and appliances.",5
"Lovely brown kitchen with white cabinetry, sink and appliances.",5
A red truck has a black dog in the drivers chair.,2
A black truck has a red dog in the drivers chair.,2
A black cat sitting on a red pillow.,2
A white cup on a wooden table.,2
A yellow flower in a blue vase.,2
"A brown teddy bear, a yellow rubber duck, a blue ball, and a green toy car on a children's play mat.",3
an elephant with glasses, 1
a dog with a hat, 1
a cat with a bowtie, 1
a bird with a crown, 1
a cat warrior holding a sword and wearing a helmet, 1
