id,caption
397133,A man is in a kitchen making pizzas.
37777,The dining table near the kitchen has a bowl of fruit on it.
252219,a person with a shopping cart on a city street 
87038,A person on a skateboard and bike at a skate park.
174482,a blue bike parked on a side walk 
403385,A bathroom that has a broken wall in the shower.
6818,a couple of buckets in a white room
480985,The shiny motorcycle has been put on display.
458054,A row of white toilets sitting on top of a dirt ground.
331352,A small closed toilet in a cramped space.
296649,People are walking and riding motorcycles on the street
386912,a person sitting at a desk with a keyboard and monitor 
502136,"A building wall and pair of doors that are open, along with vases of flowers on the outside of the building."
491497,A fluffy white chair that faces away fro a television.
184791,A painting of a table with fruit on top of it.
348881,A large jetliner sitting on top of an airport runway.
289393,Set of toy animals sitting in front of a red wooden wagon.
522713, a bench sitting in the grass facing the water and boats 
181666,a flock of goats and some men watching them
17627,Several cars are parked in front of a building.
143931,A political candidate advertisement on the side of a coach bus.
303818,A bus traveling down a curvy road behind a black car.
463730,Two buses parked in a parking lot next to cars.
460347,A bus traveling on a freeway next to other traffic.
322864,A yellow taxi cab sitting below tall buildings.
226111,"A No bicycles, skates or skateboards sign on a pole."
153299,two giraffes are standing together outside a barn
308394,An older woman riding a train while sitting under it's window.
456496,A woman sitting in front of the Eiffel tower near pigeons.
58636,A large wooden pole with a green street sign hanging from it.
41888,Three birds walking around a dry grass field.
184321,A train traveling down tracks next to lights.
565778,A train going back to its coarse filled with people.
297343,A stop sign has been placed upside-down in the grass beside a building. 
336587,a stop sign sittin on a pole that is somewhat broken 
122745,A stop sign is lit up in the dark of night.
219578,A dog and cat lying  together on an orange couch. 
555705,Two cats sitting on top of a pair of shoes.
443303,A cat laying on clothes that are in a suitcase. 
500663,A herd of cattle grazing on a lush green field.
418281,two cows outside one laying down and the other standing near a building 
25560,An orange and white cat standing in front of a flat screen TV
403817,A cat sitting beside a laptop on a desk.
85329,An image of a very cute girl with face piercings.
329323,A group of people who are standing together.
239274,A yacht with people is near a pier on clear water.
286994,some elephants and one is by some water
511321,there are two large boats that are in the water 
314294,An elephant standing under the shade of a tree.
233771,A black and white image with a colored british flag umbrella
475779,There is an elephant standing near a tree.
301867,THERE ARE WOMEN THAT ARE LAUGHING UNDER THE UMBRELLA
312421,Several middle eastern looking stickers decorate a black briefcase.
185250,A woman standing next to a  brown and white dog.
356427,A man standing next to train tracks with bags of luggage.
572517,a polar bear following a big winged bird
270244,A zebra all by itself in the green forest.
516316,An antilope is eating grass in between two zebra.
125211,A zebra standing on top of a grass covered field.
562121,Two zebras fighting in a cloud of dust
360661,A couple of jockey's riding the horses through the beach.
16228,There is a white horse pulling a trolley behind it.
382088,A big and white horse in a dirt cage. 
266409,A man in a blue coat skiing through a snowy field. 
430961,A baseball player preparing to throw a pitch during a game.
80671,A person is trying to ski down a snowy slope.
577539,"A bowl of banana's, sprinkels, chocolate chips, and marshmellows."
104612,A plate is filled with broccoli and noodles.
476258,A person in a helmet is riding a skateboard.
448365,"Youngster on a skateboard, trying simple tip up stunt."
35197,A person on a skateboard rides down a ramp.
349860,A BOY WITH A BLUE SHIRT AND JEAN PANTS DOING A TRICK WITH HIS SKATEBOARD
180135,A man holding a microphone in one hand while he holds a skateboard in the other.
486438,A plate of donuts with a person in the background.
400573,A man biting into a doughnut with a sly look.
109798,three different donuts one is pink one is brown and one has white sprinkles
370677,Three workers stand next to each other with their baked goods behind them.
238866,tHERE ARE MANY DONUTS LAYED TO DRY ON A GRILL
369370,A sandwich on a plate served with garnish.
502737,A person holding up a chocolate doughnut with a face drawn on it.
515579,A man holding a ball while standing next to a gate.
515445,A group of people walking on top of a beach.
173383,A two layer cake sitting on top of a table.
438862,a group of adults playing soccer on a field
180560,Two women in a room with one of them holding a cake.
347693,A couple of windows sitting inside of a room.
39956,A messy room with door and bed and chair.
321214,A baby in plaid shirt eating a frosted cake.
474028,a group of kids playing soccer in a field
66523,A bed topped with three white pillows covered in a canopy.
355257,A woman laying in a hospital bed hooded up to machines.
142092,A pizza with vegetables and cheese resting on a board.
63154,A surfer is riding a wave in light blue water.
199551,A picture of a young boy laying on top of a bed.
239347,A picture of a recently married couple displayed behind glass.
514508,A man in bowler hat and lab coat by people in a tv frame.
473237,A young girl eating a slice of pizza.
228144,"A chair sitting in the middle of the room, in a black and white photo."
206027,A slice of pizza that is on top of a napkin.
78915,A tennis player hits a high ball in front of an audience. 
551215,a tennis player running to get to the ball
544519,An Asian child brushes their teeth with a blue toothbrush.
96493,A boy draped in a blanket holds a remote control on a couch
23899,Three young men playing Wii on a projection television.
340175,A LITTLE ROOM AND DINING ROOM AREA WITH FURNITURE
578500,a living room that has some couches and tables in it
366141,a cat laying on top of a chair in the living room 
57597,A group of women playing a game of soccer on field.
559842,Group of small children running down the field playing soccer.
434230,A vendor has lots of different vases for sale.
428454,A Man skis using a sail in open snow-packed field.
399462,A girl with a kite running in the grass.
261061,A young lady throwing a blue frisbee while standing on a lush green field.
168330,An old clock is illuminated at night on a street corner.
383384,A baseball player holding a bat next to home plate.
342006, a castle and the big ben clocktower next to a river 
217285,A baseball player with the Cardinals getting ready to hit a baseball.
236412,A pizza casserole  with two kinds of crackers on the side.
524456,Two people are at a computer desk with a mouse.
153343,two big stuffed bears sitting behind a chained fenced
95786,there are three vases made of clay on a table
326541,A couple of people holding up cell phones side by side.
213086,A man holding an oven door open while he looks in it. 
231339,A little girl is kneeling in front of an open refrigerator. 
508730,Two naked babies on training toilets in a bathroom
550426,A vase filled with red and white flowers on top of a table.
368294,A woman making cigars in a factory with a pink towel on her head. 
171190,a large group of people are gathered around the table
301135,Many people are sitting on two benches next to a light pole.
580294,Person cooking an eggs on a black pot on a stove. 
494869,A woman standing at a kitchen counter with a child and a dog is behind her.
33638,A woman observing something on a kitchen stove.
329219,A man standing next to a dog on the ground.
34873,A kitchen with a counter and a table with chairs.
186980,A wooden table with two chairs next to a sink.
127182,A kitchen filled with metal appliances and a window.
356387,A row of parked motorcycles sitting in front of a tall building.
367680,"Cars, truck and carriages are traveling on the road"
263796,A red toilet in a very small bathroom.
117425,A toddler celebrates his birthday with a cupcake.
365387,View of a public men's' room with a  cot on the side.
487583,A white toilet and cup in a room.
504711,A fork rests on a plate next to a piece of cake.
363840,Several different pieces of electronic equipment and computers on a desk.
214720,A man sitting at a table in front of a plate of food.
379453,An Air Force jet flying in a deep blue sky.
311295,A field with various wildlife and trees in the background.
29393,A large brown dog standing on the side of a white wood fence.
278848,A group of people standing outside of a bus.
166391,A large and wide street covered in lots of traffic lights.
48153,A foot wearing a pointy pink flat shoe rested upon a bench.
459153,A young male sitting on a park bench typing on a laptop. 
295713,A statue is sitting on a bench and a woman sits on a cement block.
223130,A giraffe standing under a leaf filled tree.
273132,An elderly woman sitting on the bench resting.  
198960,A group of sheep standing next to each other on a field.
344059,Two tall giraffes standing next to each other by trees.
410428,A herd of sheep are grazing in a green field.
87875,"Their is a hadron and their  in this lot,"
450758,A herd of giraffe running across a field.
458790,A view from the inside of a train from a side window.
460160,a white bird some sand water rocks and grass
458109,A train parked next to some train tracks.
30675,The train engine number 6309 is operated by BNSF. 
566524,A couple of people that are standing near a train.
338428,An older pickup truck with decorative murals painted on.
545826,A black and white cat that is standing on all fours and has an elephant hat on it's head.
166277,A cat drinking out of a glass on top of a table.
269314,A cat sitting on top of a banana tree.
476415,A man wearing a white shirt and tie standing in  a room.
292082,an old photo of a little girl sitting on her dads lap 
360137,A person leaning up against a metal rail while holding a rainbow colored umbrella.
122046,A woman is sitting in a chair with an umbrella.
352684,A group of people gathered in the lobby of  a building.
512836,A woman with a red umbrella is walking two dogs in the snow.
8021,A presenter projected on a large screen at a conference.
107226,Two men being drug on buggies by dogs.
84477,A woman walks out of the ocean towards a beach chair and umbrella.
562243,A man in a purple shirt and matching tie looking pensive.
181859,A cute cat laying down in a sink.
177015,A man using his laptop computer while a cat sits on his lap.
292236,A couple of men standing next to train tracks.
121506,A wooden table with an inverted umbrella on it.
288042,A gentleman walking in the rain along a river.
453860,A couple of pieces of very nice looking luggage.
500257,A few men working on moving luggage at an airport
113403,Three teddy bears laying in bed under the covers.
125062,A row of white teddy bears on shelf next to DVDs.
375015,A baby brown bear standing on top of a rock.
334719,People walking on sand next to a mountainous area.
134112,A small dog laying on a bed next to a laptop computer.
283520,Two men play around on a nature trail.
31269,three zebras in a field near bushes 
319721,A brown horse standing next to a woman in front of a house.
165351,Sliced bananas sit on top of a pastry dish on a plate.
347265,A person skiing through a snowy forest with tall trees.
414170,Several skiers glide down a hilly landscape covered in snow. 
231508,A baseball player pitching a baseball on a field.
389381,a bowl of different kinds of food on it
118921,A woman riding skis down a snow covered slope.
21503,Crackers with spread on table with remote in background
785,A woman posing for the camera standing on skis.
300842,A skateboard that has its wheels on the floor.
105014,a salad that looks like a boat is next to a fork
261982,A man flying through the air while riding a skateboard.
34205,"Closeup of a plate of food that includes chicken, mushrooms and broccoli."
99242,A person skiing in an open area of snow.
314709,a person riding skis on a snowy slope
